Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
265,12:08:16.16,-0.01521,1.53151,-0.33176,-0.26667,0.16667,-0.13333,2
266,12:08:16.23,0.16079,1.00016,0.33372,0.06667,-0.06667,-0.0,2
267,12:08:16.29,0.05379,0.65716,-0.08458,0.0,-0.03333,-0.0,2
268,12:08:16.35,0.30879,0.53916,-0.08613,0.0,-0.03333,-0.03333,2
269,12:08:16.42,0.57279,0.27339,-0.08473,0.06667,-0.03333,-0.0,2
270,12:08:16.48,0.31779,0.32416,-0.10841,0.1,0.0,-0.0,2
271,12:08:16.54,0.00479,0.47116,0.14587,0.13333,0.03333,-0.0,0
272,12:08:16.60,0.23979,0.37316,0.33598,0.13333,0.03333,-0.0,0
273,12:08:16.67,0.20079,0.39216,0.21696,0.13333,0.0,-0.0,0
274,12:08:16.73,0.33779,0.26516,0.28096,0.1,-0.06667,-0.0,0
275,12:08:16.79,0.20079,0.31416,0.20997,0.03333,0.0,-0.0,0
276,12:08:16.86,0.12179,0.28416,0.24801,0.03333,0.0,-0.03333,0
277,12:08:16.92,0.25879,0.21616,0.3893,0.03333,0.0,-0.0,0
278,12:08:16.98,0.20979,0.15716,0.41374,0.0,0.0,-0.03333,0
279,12:08:17.05,0.17079,0.16716,0.3298,0.03333,0.0,-0.0,0
280,12:08:17.11,0.33779,0.05839,0.05759,0.0,0.0,-0.0,0
281,12:08:17.17,0.27879,0.13639,0.15481,0.0,-0.03333,-0.0,0
282,12:08:17.24,0.22979,-0.05961,0.18914,0.0,-0.03333,-0.0,0
283,12:08:17.30,0.13179,-0.04961,0.15893,0.0,0.0,-0.0,0
284,12:08:17.36,0.08279,-0.01061,0.24095,0.03333,0.0,-0.0,0
285,12:08:17.42,0.10279,0.11639,-0.05154,0.06667,0.06667,-0.03333,0
286,12:08:17.49,0.17079,0.14639,0.09763,0.06667,0.03333,-0.03333,0
287,12:08:17.55,0.26879,0.08739,0.26633,0.03333,0.03333,-0.06667,0
288,12:08:17.62,0.30879,0.18539,0.3442,0.03333,0.06667,-0.03333,0
289,12:08:17.68,0.10764,0.06739,0.30003,0.0,0.03333,-0.0,0
290,12:08:17.74,0.10764,0.01839,0.28088,0.03333,0.03333,0.03333,0
291,12:08:17.80,0.10764,-0.03061,0.2619,-0.03333,0.0,-0.0,0
292,12:08:17.87,0.08764,0.04839,0.21131,-0.03333,0.0,-0.0,0
293,12:08:17.93,0.14664,0.02823,0.23453,0.0,0.0,-0.0,0
294,12:08:17.99,0.06864,0.02823,0.16569,-0.03333,0.0,-0.0,0
295,12:08:18.06,0.23979,0.06723,0.14665,0.0,0.0,-0.0,0
296,12:08:18.12,0.21979,0.15523,0.10038,0.0,0.03333,-0.0,0
