,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,seconds
897,12:55:10.790000,-0.42422,-0.84071,0.19687,0.03333,0.16667,-0.0,46510.79
898,12:55:10.820000,-0.03222,-1.21646,0.45604,-0.1,-0.06667,-0.06667,46510.82
899,12:55:10.850000,0.00778,-1.11846,0.28102,0.0,0.03333,-0.03333,46510.85
900,12:55:10.880000,-0.41759,-1.02046,0.18496,0.0,0.03333,-0.0,46510.88
901,12:55:10.910000,-0.28059,-1.00146,0.3468,-0.03333,-0.03333,-0.0,46510.91
902,12:55:10.940000,-0.22159,-1.12846,0.13909,0.03333,0.16667,-0.0,46510.94
903,12:55:10.970000,-0.37859,-1.02046,0.10456,0.13333,0.2,-0.0,46510.97
904,12:55:11,-0.38859,-0.97146,0.3273,-0.03333,-0.06667,-0.0,46511.0
905,12:55:11.030000,-0.20159,-1.13846,0.346,-0.06667,-0.1,-0.0,46511.03
906,12:55:11.060000,-0.30959,-1.04046,0.34619,0.13333,0.1,-0.0,46511.06
907,12:55:11.100000,-0.42759,-0.87346,0.41768,0.06667,0.1,-0.0,46511.1
908,12:55:11.130000,-0.45659,-1.07946,0.21184,-0.06667,0.0,-0.03333,46511.13
909,12:55:11.150000,-0.15259,-1.17746,0.32676,0.0,0.0,-0.06667,46511.15
910,12:55:11.180000,-0.33959,-0.89071,0.48484,0.06667,0.16667,-0.0,46511.18
911,12:55:11.220000,-0.57689,-1.12846,0.47726,-0.1,0.0,-0.06667,46511.22
912,12:55:11.250000,-0.46889,-1.12846,0.43907,-0.06667,0.0,-0.06667,46511.25
913,12:55:11.280000,-0.55789,-0.98146,0.48011,0.0,0.23333,-0.03333,46511.28
914,12:55:11.310000,-0.64589,-0.98146,0.33646,-0.06667,0.36667,-0.06667,46511.31
915,12:55:11.340000,-0.61707,-1.09946,0.5455,-0.16667,0.36667,-0.06667,46511.34
916,12:55:11.370000,-0.33307,-1.28546,0.65211,-0.13333,0.66667,-0.06667,46511.37
917,12:55:11.400000,-0.54909,-1.15846,0.65306,0.0,1.03333,-0.1,46511.4
918,12:55:11.430000,-0.94742,-1.02458,0.81191,-0.13333,1.06667,-0.16667,46511.43
919,12:55:11.460000,-0.46365,-0.87346,0.99623,-0.36667,0.9,-0.13333,46511.46
920,12:55:11.490000,0.19502,-1.59258,1.31108,-0.2,1.76667,-0.1,46511.49
921,12:55:11.520000,-0.14,-1.56946,1.47258,-0.1,2.16667,-0.13333,46511.52
922,12:55:11.560000,-0.14,-1.56946,1.47258,-0.1,2.16667,-0.13333,46511.56
923,12:55:11.590000,0.34422,-1.33446,1.32875,-0.53333,1.86667,-0.06667,46511.59
924,12:55:11.620000,0.36637,-1.57946,1.20989,-0.33333,2.86667,0.13333,46511.62
925,12:55:11.650000,0.36637,-1.57946,1.20989,-0.33333,2.86667,0.13333,46511.65
926,12:55:11.680000,0.0094,-1.04046,0.33575,-0.73333,2.43333,0.1,46511.68
927,12:55:11.710000,0.2443,-1.302,0.4067,-0.96667,2.5,0.2,46511.71
928,12:55:11.740000,0.00561,-1.155,0.0896,-0.93333,2.5,0.26667,46511.74
929,12:55:11.770000,-0.00386,-0.86958,-0.06555,-1.03333,2.33333,0.33333,46511.77
930,12:55:11.800000,-0.06481,-0.87364,-0.09826,-1.16667,2.33333,0.36667,46511.8
931,12:55:11.830000,-0.58017,-1.039,-0.29362,-1.36667,2.23333,0.26667,46511.83
932,12:55:11.860000,-0.58017,-1.039,-0.29362,-1.36667,2.23333,0.26667,46511.86
933,12:55:11.890000,-0.38242,-0.87721,-0.17961,-1.3,2.3,0.36667,46511.89
934,12:55:11.920000,-0.38242,-0.87721,-0.17961,-1.3,2.3,0.36667,46511.92
935,12:55:11.950000,-1.40276,-0.50831,-0.16879,-1.46667,1.66667,0.26667,46511.95
936,12:55:11.980000,-1.40276,-0.50831,-0.16879,-1.46667,1.66667,0.26667,46511.98
937,12:55:12.010000,-1.40276,-0.50831,-0.16879,-1.46667,1.66667,0.26667,46512.01
938,12:55:12.040000,-0.81202,-0.62442,-4.22647,-1.1,1.06667,0.06667,46512.04
939,12:55:12.070000,-0.81202,-0.62442,-4.22647,-1.1,1.06667,0.06667,46512.07
940,12:55:12.100000,-0.81202,-0.62442,-4.22647,-1.1,1.06667,0.06667,46512.1
941,12:55:12.130000,-1.00802,0.11158,-5.39327,-0.7,0.4,-0.0,46512.13
942,12:55:12.160000,-0.56956,-0.10442,-5.03411,-0.66667,0.06667,-0.1,46512.16
943,12:55:12.190000,0.3239,-0.29142,-4.17973,-0.3,0.3,-0.1,46512.19
944,12:55:12.220000,-0.1081,-0.05542,-4.20333,-0.2,0.43333,-0.1,46512.22
945,12:55:12.260000,-0.3241,0.213,-4.09309,-0.26667,0.16667,-0.13333,46512.26
946,12:55:12.290000,1.0299,-0.454,-3.10404,-0.33333,-0.36667,-0.16667,46512.29
947,12:55:12.320000,0.5389,-0.228,-3.37686,0.1,0.43333,-0.03333,46512.32
948,12:55:12.350000,0.15033,-0.081,-3.64656,0.06667,0.26667,-0.03333,46512.35
949,12:55:12.390000,0.54333,-0.35231,-2.81476,-0.03333,-0.26667,-0.1,46512.39
950,12:55:12.410000,0.54333,-0.39131,-2.73989,0.1,-0.06667,-0.0,46512.41
951,12:55:12.440000,0.24833,-0.27331,-2.93158,0.2,0.13333,-0.0,46512.44
952,12:55:12.520000,-0.32967,-0.21431,-3.36838,0.06667,-0.2,-0.03333,46512.52
953,12:55:12.570000,-0.7061,0.03069,-3.84698,0.26667,-0.33333,-0.06667,46512.57
954,12:55:12.590000,-0.67756,-0.10631,-4.7599,0.13333,-0.86667,-0.06667,46512.59
955,12:55:12.630000,-0.67756,-0.10631,-4.7599,0.13333,-0.86667,-0.06667,46512.63
956,12:55:12.660000,-0.789,-0.13631,-5.03649,0.66667,-0.96667,-0.06667,46512.66
957,12:55:12.690000,0.08744,-0.63631,-3.62176,0.4,-2.26667,-0.0,46512.69
958,12:55:12.720000,0.08744,-0.63631,-3.62176,0.4,-2.26667,-0.0,46512.72
959,12:55:12.760000,0.08147,-0.65631,-0.60629,1.13333,-1.9,-0.0,46512.76
960,12:55:12.790000,0.67746,-0.64042,0.20607,1.0,-2.53333,0.26667,46512.79
961,12:55:12.830000,0.41533,-0.61142,0.07506,1.2,-2.0,0.33333,46512.83
962,12:55:12.860000,-0.71588,-0.46542,-0.35158,1.4,-1.6,0.33333,46512.86
963,12:55:12.890000,-0.09802,-0.88642,0.22116,0.86667,-2.93333,0.3,46512.89
964,12:55:12.920000,0.53412,-0.90136,0.00113,1.06667,-1.26667,0.56667,46512.92
965,12:55:12.950000,-1.07861,-1.49936,-0.7857,1.3,-0.93333,0.46667,46512.95
966,12:55:12.980000,-1.0697,-0.73021,-0.23954,1.13333,-2.83333,0.23333,46512.98
967,12:55:13.010000,0.39542,-0.88721,0.71319,0.86667,-2.86667,0.33333,46513.01
968,12:55:13.040000,0.00483,-1.451,-0.06692,0.96667,-1.23333,0.5,46513.04
969,12:55:13.070000,-1.14875,-1.314,-0.599,1.2,-1.16667,0.43333,46513.07
970,12:55:13.100000,0.34409,-1.36364,0.37209,0.8,-1.43333,0.4,46513.1
971,12:55:13.140000,-0.36552,-1.03558,-0.19151,1.03333,-1.03333,0.36667,46513.14
972,12:55:13.160000,-0.23598,-0.54169,-0.0906,1.16667,-1.06667,0.2,46513.16
973,12:55:13.190000,0.14948,-0.283,-0.27685,0.93333,-1.2,0.1,46513.19
974,12:55:13.230000,0.52993,-0.61338,0.46376,0.96667,-0.83333,0.36667,46513.23
975,12:55:13.260000,0.52993,-0.61338,0.46376,0.96667,-0.83333,0.36667,46513.26
976,12:55:13.290000,1.14478,-0.33339,0.93271,0.53333,-1.03333,0.2,46513.29
977,12:55:13.320000,1.14478,-0.33339,0.93271,0.53333,-1.03333,0.2,46513.32
978,12:55:13.340000,0.34518,-0.04939,0.27487,0.7,-0.36667,0.23333,46513.34
979,12:55:13.380000,-0.46882,-0.21523,0.83877,0.46667,-0.93333,0.06667,46513.38
980,12:55:13.410000,0.94583,-0.37223,2.00515,0.3,-0.6,0.13333,46513.41
981,12:55:13.440000,0.70083,-0.29423,1.3993,0.33333,-0.06667,0.06667,46513.44
982,12:55:13.470000,-0.02517,-0.17623,1.09369,0.26667,0.0,-0.0,46513.47
983,12:55:13.500000,0.25883,-0.07823,1.19338,0.06667,-0.26667,0.06667,46513.5
984,12:55:13.530000,0.25883,-0.07823,1.19338,0.06667,-0.26667,0.06667,46513.53
